lat,long
12.9715987,77.5945627
33.8499292,-88.4509873
33.8499292,-88.4509873
51.5073346,-0.1276831
42.3584308,-71.0597732
33.8499292,-88.4509873
38.6575735,-77.5814966
33.8499292,-88.4509873
19.0759837,72.8776559
19.0759837,72.8776559
33.8499292,-88.4509873
33.8499292,-88.4509873
23.2248196,72.6463769
19.0759837,72.8776559
13.060422,80.249583
18.5204303,73.8567437
19.0759837,72.8776559
19.0759837,72.8776559
56.130366,-106.346771
37.7749295,-122.4194155
28.635308,77.22496
37.3860517,-122.0838511
33.8499292,-88.4509873
42.3584308,-71.0597732
25.4358011,81.846311
-32.9185085,151.6070583
28.5355161,77.3910265
20.971939,86.012907
19.0759837,72.8776559
48.8445157,-67.5305758
52.7189747,-6.8503703
37.7749295,-122.4194155
40.7143528,-74.0059731
33.8499292,-88.4509873
19.0759837,72.8776559
40.9256538,-73.1409429
21.195,72.819444
20.593684,78.96288
26.8465108,80.9466832
33.8499292,-88.4509873
33.8499292,-88.4509873
33.8499292,-88.4509873
37.7749295,-122.4194155
37.7749295,-122.4194155
6.693124,80.386436
1.352083,103.819836
37.4418834,-122.1430195
12.9715987,77.5945627
33.8499292,-88.4509873
19.0759837,72.8776559
61.92411,25.748151
23.2248196,72.6463769
-19.7615391,-44.8964323
12.9715987,77.5945627
37.09024,-95.712891
33.8499292,-88.4509873
19.0759837,72.8776559
33.8499292,-88.4509873
19.0759837,72.8776559
33.8499292,-88.4509873
37.7749295,-122.4194155
33.8499292,-88.4509873
28.4594965,77.0266383
39.0841968,-84.7227071
33.8499292,-88.4509873
19.0759837,72.8776559
19.0759837,72.8776559
43.653226,-79.3831843
6.693124,80.386436
-33.8674869,151.2069902
33.8499292,-88.4509873
28.635308,77.22496
19.0759837,72.8776559
56.130366,-106.346771
34.0522342,-118.2436849
31.9524799,-102.1732882
28.635308,77.22496
40.7143528,-74.0059731
33.8499292,-88.4509873
37.4538274,-122.1821871
33.8499292,-88.4509873
33.8499292,-88.4509873
33.8499292,-88.4509873
41.1408363,-73.2612615
40.9256538,-73.1409429
41.6892967,-83.4563522
37.3860517,-122.0838511
33.8499292,-88.4509873
59.32893,18.06491
33.8499292,-88.4509873
40.7281575,-74.0776417
33.8499292,-88.4509873
23.2599333,77.412615
28.635308,77.22496
48.1944849,14.8360138
37.7749295,-122.4194155
37.3860517,-122.0838511
33.8499292,-88.4509873
33.8499292,-88.4509873
37.5482697,-121.9885719
23.2248196,72.6463769
33.8499292,-88.4509873
19.0759837,72.8776559
19.0759837,72.8776559
37.362517,-122.03476
19.0759837,72.8776559
33.8499292,-88.4509873
33.8499292,-88.4509873
20.593684,78.96288
33.8499292,-88.4509873
28.4743879,77.5039904
37.7749295,-122.4194155
34.1477849,-118.1445155
33.8499292,-88.4509873
38.6779591,-121.1760583
33.8499292,-88.4509873
12.9715987,77.5945627
12.9715987,77.5945627
20.593684,78.96288
33.8499292,-88.4509873
19.0759837,72.8776559
33.8499292,-88.4509873
12.9715987,77.5945627
44.1120048,24.3554153
40.9256538,-73.1409429
37.7141454,-122.25
33.8499292,-88.4509873
33.8499292,-88.4509873
40.7143528,-74.0059731
12.9715987,77.5945627
37.7749295,-122.4194155
43.4642578,-80.5204096
19.0759837,72.8776559
37.3860517,-122.0838511
33.8499292,-88.4509873
31.9524799,-102.1732882
20.593684,78.96288
32.2166667,76.3166667
13.060422,80.249583
37.5999938,14.0153557
47.6062095,-122.3320708
60.472024,8.468946
34.165363,-118.447527
30.267153,-97.7430608
33.8499292,-88.4509873
43.0730517,-89.4012302
22.572646,88.363895
33.8499292,-88.4509873
51.575666,-0.198171
33.8499292,-88.4509873
19.0759837,72.8776559
